,train,val,test
C3L-00004-26,True,False,False
C3L-00010-26,True,False,False
C3L-00026-21,True,False,False
C3L-00079-26,True,False,False
C3L-00096-26,True,False,False
C3L-00103-26,True,False,False
C3L-00369-22,True,False,False
C3L-00418-21,True,False,False
C3L-00447-22,True,False,False
C3L-00448-26,True,False,False
C3L-00561-26,True,False,False
C3L-00581-22,True,False,False
C3L-00606-22,True,False,False
C3L-00607-22,True,False,False
C3L-00789-21,True,False,False
C3L-00791-21,True,False,False
C3L-00796-21,True,False,False
C3L-00800-22,True,False,False
C3L-00813-21,True,False,False
C3L-00814-21,True,False,False
C3L-00908-26,True,False,False
C3L-00917-21,True,False,False
C3L-00966-22,True,False,False
C3L-00968-26,True,False,False
C3L-00969-27,True,False,False
C3L-00970-22,True,False,False
C3L-00976-23,True,False,False
C3L-01033-23,True,False,False
C3L-01034-23,True,False,False
C3L-01106-26,True,False,False
C3L-01281-23,True,False,False
C3L-01283-21,True,False,False
C3L-01286-21,True,False,False
C3L-01287-23,True,False,False
C3L-01288-23,True,False,False
C3L-01313-23,True,False,False
C3L-01464-22,True,False,False
C3L-01465-21,True,False,False
C3L-01603-23,True,False,False
C3L-01607-21,True,False,False
C3L-01665-23,True,False,False
C3L-01676-22,True,False,False
C3L-01681-27,True,False,False
C3L-01836-26,True,False,False
C3L-01869-23,True,False,False
C3L-01882-21,True,False,False
C3L-01951-21,True,False,False
C3L-01976-23,True,False,False
C3L-02201-21,True,False,False
C3L-02202-21,True,False,False
C3L-02220-23,True,False,False
C3L-02346-26,True,False,False
C3L-02544-26,True,False,False
C3L-02551-22,True,False,False
C3L-02553-21,True,False,False
C3L-02841-21,True,False,False
C3L-02842-22,True,False,False
C3N-00149-27,True,False,False
C3N-00150-22,True,False,False
C3N-00154-21,True,False,False
C3N-00168-24,True,False,False
C3N-00194-27,True,False,False
C3N-00242-26,True,False,False
C3N-00244-26,True,False,False
C3N-00246-26,True,False,False
C3N-00305-21,True,False,False
C3N-00310-22,True,False,False
C3N-00312-21,True,False,False
