,train,val,test
0,C3L-00004-26,TCGA-CW-5581-01A-01-BS1,C3N-02431-22
1,C3L-00026-21,C3L-00917-21,TCGA-BP-5192-01A-01-BS1
2,C3L-00079-26,TCGA-CJ-5683-01A-01-BS1,TCGA-B0-4823-01Z-00-DX1
3,C3L-00088-22,C3N-02266-21,TCGA-BP-4325-11A-01-TS1
4,C3L-00097-26,TCGA-A3-3324-01A-01-BS1,TCGA-BP-4991-01A-01-TS1
5,C3L-00103-26,TCGA-CZ-5456-01A-01-TS1,C3N-00832-21
6,C3L-00165-26,TCGA-A3-3326-01A-01-BS1,C3N-00380-25
7,C3L-00183-26,C3L-01676-22,C3N-00320-21
8,C3L-00359-21,TCGA-B0-4822-01A-01-TS1,TCGA-BP-4964-01A-01-BS1
9,C3L-00360-26,TCGA-CJ-5672-01Z-00-DX1,TCGA-BP-4784-11A-01-TS1
10,C3L-00369-22,TCGA-B0-4707-01A-01-TS1,C3L-00791-21
11,C3L-00416-21,C3L-01283-21,TCGA-B0-5709-01A-01-BS1
12,C3L-00418-21,C3L-02553-21,TCGA-B0-4847-11A-01-BS1
13,C3L-00448-26,TCGA-CJ-4923-01A-01-TS1,TCGA-CZ-4866-11A-01-TS1
14,C3L-00561-26,TCGA-B0-4834-01Z-00-DX1,C3L-00096-26
15,C3L-00583-22,TCGA-AK-3458-01Z-00-DX1,TCGA-B0-5099-11A-01-TS1
16,C3L-00606-22,TCGA-B0-5697-11A-01-TS1,TCGA-BP-4758-11A-01-TS1
17,C3L-00607-22,TCGA-BP-4973-01A-01-TS1,C3N-01361-21
18,C3L-00796-21,C3L-00908-26,C3N-01213-21
19,C3L-00800-22,TCGA-B0-4849-11A-01-BS1,C3N-01077-27
20,C3L-00813-21,TCGA-BP-5186-01Z-00-DX1,C3L-00789-21
21,C3L-00814-21,TCGA-B0-4842-01Z-00-DX1,TCGA-B0-4843-01Z-00-DX1
22,C3L-00910-26,TCGA-B8-4143-01A-01-BS1,TCGA-CZ-4864-01Z-00-DX1
23,C3L-00966-22,TCGA-BP-4349-11A-01-TS1,TCGA-BP-4969-01A-01-TS1
24,C3L-00969-27,TCGA-BP-4355-01Z-00-DX1,C3L-00968-26
25,C3L-00970-22,C3N-01179-21,TCGA-CJ-5679-11A-01-TS1
26,C3L-00976-23,TCGA-BP-4343-11A-01-TS1,TCGA-CJ-4637-01A-01-BS1
27,C3L-01033-23,TCGA-CZ-4859-01Z-00-DX1,TCGA-CZ-5459-11A-01-TS1
28,C3L-01034-23,C3L-01287-23,C3L-00447-22
29,C3L-01106-26,TCGA-CJ-5682-11A-01-TS1,TCGA-BP-4766-01A-01-TS1
30,C3L-01107-21,C3N-00390-26,TCGA-BP-4987-01A-01-TS1
31,C3L-01281-23,TCGA-DV-A4VZ-01A-01-TS1,TCGA-BP-4159-11A-01-BS1
32,C3L-01288-23,TCGA-BP-4971-11A-01-TS1,C3N-01657-23
33,C3L-01302-26,TCGA-B0-5095-01A-01-TS1,TCGA-CW-5584-11A-01-TS1
34,C3L-01313-23,TCGA-CJ-4905-01Z-00-DX1,TCGA-CJ-4913-01Z-00-DX1
35,C3L-01459-21,C3L-01286-21,TCGA-G6-A8L8-01Z-00-DX1
36,C3L-01462-22,C3L-00010-26,TCGA-CJ-5677-01A-01-BS1
37,C3L-01464-22,TCGA-BP-4332-01A-01-BS1,C3L-02364-21
38,C3L-01465-21,TCGA-BP-4983-01Z-00-DX1,TCGA-AK-3426-01A-01-TS1
39,C3L-01603-23,TCGA-CZ-5469-11A-01-TS1,TCGA-CW-6096-11A-01-TS1
