,train,val,test
0,C3L-00010-26,C3L-00004-26,C3L-01281-23
1,C3L-00011-26,C3L-00813-21,C3N-00242-26
2,C3L-00026-21,C3L-01302-26,C3N-00312-21
3,C3L-00079-26,C3N-00244-26,C3N-00390-26
4,C3L-00088-22,C3N-00646-21,C3N-00852-26
5,C3L-00096-26,C3N-00834-25,TCGA-A3-3306-01A-01-TS1
6,C3L-00097-26,C3N-01175-21,TCGA-A3-3324-01A-01-BS1
7,C3L-00103-26,C3N-01214-22,TCGA-A3-3358-01Z-00-DX1
8,C3L-00183-26,TCGA-A3-3382-01A-02-BS2,TCGA-A3-3380-01A-01-TS1
9,C3L-00359-21,TCGA-AK-3427-01A-01-TS1,TCGA-B0-4707-01A-01-TS1
10,C3L-00360-26,TCGA-AK-3451-01Z-00-DX1,TCGA-B0-4822-01A-01-TS1
11,C3L-00369-22,TCGA-AK-3455-01A-01-TS1,TCGA-B0-4841-11A-01-TS1
12,C3L-00416-21,TCGA-AK-3460-01A-01-BS1,TCGA-B0-4849-11A-01-BS1
13,C3L-00418-21,TCGA-AK-3461-01A-02-BS2,TCGA-B0-5080-01Z-00-DX1
14,C3L-00447-22,TCGA-B0-4688-11A-01-BS1,TCGA-B0-5110-01Z-00-DX1
15,C3L-00448-26,TCGA-B0-4699-01Z-00-DX1,TCGA-B0-5713-01Z-00-DX1
16,C3L-00561-26,TCGA-B0-4701-11A-01-BS1,TCGA-B8-A54D-01A-02-TS2
17,C3L-00581-22,TCGA-B0-4703-01A-01-TS1,TCGA-B8-A54E-01A-01-TS1
18,C3L-00583-22,TCGA-B0-4810-01Z-00-DX1,TCGA-BP-4170-01A-02-BS2
19,C3L-00606-22,TCGA-B0-4814-11A-01-TS1,TCGA-BP-4331-11A-01-BS1
20,C3L-00607-22,TCGA-B0-4833-01Z-00-DX1,TCGA-BP-4343-11A-01-TS1
21,C3L-00791-21,TCGA-B0-4844-01Z-00-DX1,TCGA-BP-4347-11A-01-BS1
22,C3L-00796-21,TCGA-B0-4945-01A-01-BS1,TCGA-BP-4351-11A-01-BS1
23,C3L-00800-22,TCGA-B0-5109-01A-02-BS2,TCGA-BP-4760-01A-01-BS1
24,C3L-00814-21,TCGA-B0-5692-01Z-00-DX1,TCGA-BP-4781-11A-01-TS1
25,C3L-00902-26,TCGA-B0-5696-01Z-00-DX1,TCGA-BP-4801-11A-01-TS1
26,C3L-00907-23,TCGA-B0-5699-01A-01-BS1,TCGA-BP-4960-01A-01-BS1
27,C3L-00908-26,TCGA-B0-5701-01A-01-BS1,TCGA-BP-4977-01A-01-TS1
28,C3L-00910-26,TCGA-B0-5707-01A-01-TS1,TCGA-BP-4988-01A-01-TS1
29,C3L-00917-21,TCGA-BP-4160-01A-02-BS2,TCGA-BP-5178-01Z-00-DX1
30,C3L-01283-21,TCGA-BP-4332-01A-01-BS1,TCGA-BP-5182-01A-01-TS1
31,C3L-01286-21,TCGA-BP-4349-11A-01-TS1,TCGA-BP-5186-01Z-00-DX1
