,train,val,test
0,C3L-00004-26,C3L-00026-21,C3L-00011-26
1,C3L-00010-26,C3L-00183-26,C3L-00583-22
2,C3L-00079-26,C3L-00416-21,C3L-00791-21
3,C3L-00088-22,C3L-01283-21,C3N-00154-21
4,C3L-00096-26,C3L-01286-21,C3N-00242-26
5,C3L-00097-26,C3L-01302-26,C3N-00246-26
6,C3L-00103-26,C3N-00305-21,C3N-00573-22
7,C3L-00359-21,C3N-00312-21,C3N-00832-21
8,C3L-00360-26,C3N-00390-26,C3N-00834-25
9,C3L-00369-22,C3N-01524-23,C3N-01220-26
10,C3L-00418-21,C3N-01646-22,C3N-01261-21
11,C3L-00447-22,C3N-01651-30,C3N-01522-22
12,C3L-00448-26,TCGA-A3-3329-01A-01-TS1,TCGA-A3-3311-01A-01-BS1
13,C3L-00561-26,TCGA-A3-3335-01A-01-BS1,TCGA-A3-3372-01A-02-BS2
14,C3L-00581-22,TCGA-A3-3352-11A-01-TS1,TCGA-AK-3425-01A-01-BS1
15,C3L-00606-22,TCGA-A3-3359-01Z-00-DX1,TCGA-B0-4815-11A-01-BS1
16,C3L-00607-22,TCGA-A3-3365-01Z-00-DX2,TCGA-B0-4834-01Z-00-DX1
17,C3L-00796-21,TCGA-A3-3367-11A-01-TS1,TCGA-B0-4845-01A-01-TS1
18,C3L-00800-22,TCGA-A3-3382-01A-02-BS2,TCGA-B0-5812-01A-01-BS1
19,C3L-00813-21,TCGA-AK-3427-01A-01-TS1,TCGA-BP-4160-01A-02-BS2
20,C3L-00814-21,TCGA-AK-3444-01A-02-BS2,TCGA-BP-4164-11A-01-TS1
21,C3L-00902-26,TCGA-AK-3450-01A-01-BS1,TCGA-BP-4169-01A-01-BS1
22,C3L-00907-23,TCGA-AK-3460-01A-01-BS1,TCGA-BP-4177-11A-01-BS1
23,C3L-00908-26,TCGA-B0-4696-11A-01-BS1,TCGA-BP-4346-11A-01-TS1
24,C3L-00910-26,TCGA-B0-4707-01A-01-TS1,TCGA-BP-4765-01A-01-TS1
25,C3L-00917-21,TCGA-B0-4818-11A-01-TS1,TCGA-BP-4781-11A-01-TS1
26,C3L-01281-23,TCGA-B0-4823-01Z-00-DX1,TCGA-BP-4969-01A-01-TS1
27,C3L-01287-23,TCGA-B0-4838-11A-01-TS1,TCGA-BP-4973-01A-01-TS1
28,C3L-01288-23,TCGA-B0-4839-01A-01-BS1,TCGA-BP-4983-01Z-00-DX1
29,C3L-01313-23,TCGA-B0-5085-01A-01-BS1,TCGA-BP-4985-01A-01-TS1
30,C3L-01603-23,TCGA-B0-5709-01A-01-BS1,TCGA-BP-5007-01A-01-BS1
31,C3L-01607-21,TCGA-B8-4146-01B-01-TS1,TCGA-CJ-4644-01A-01-TS1
32,C3L-01836-26,TCGA-BP-4327-01A-01-TS1,TCGA-CJ-4870-01A-01-BS1
33,C3L-01861-26,TCGA-BP-4330-01Z-00-DX1,TCGA-CJ-4874-01A-01-BS1
34,C3L-01882-21,TCGA-BP-4762-01A-01-BS1,TCGA-CJ-4891-01A-01-TS1
35,C3L-01885-23,TCGA-BP-4766-01A-01-TS1,TCGA-CJ-4900-11A-01-TS1
36,C3N-00149-27,TCGA-BP-4801-11A-01-TS1,TCGA-CJ-5678-11A-01-TS1
37,C3N-00150-22,TCGA-BP-5191-01Z-00-DX1,TCGA-CJ-5681-01Z-00-DX1
38,C3N-00168-24,TCGA-CJ-4638-01A-01-BS1,TCGA-CJ-5682-11A-01-TS1
39,C3N-00177-21,TCGA-CJ-4886-01A-01-TS1,TCGA-CJ-6028-01Z-00-DX1
40,C3N-00194-27,TCGA-CJ-4893-11A-01-TS1,TCGA-CW-5591-01A-01-BS1
41,C3N-00244-26,TCGA-CJ-4897-01A-01-BS1,TCGA-CW-6093-01A-01-BS1
42,C3N-00310-22,TCGA-CJ-4902-11A-01-TS1,TCGA-CZ-5452-01A-01-TS1
43,C3N-00313-23,TCGA-CJ-4907-01A-01-BS1,TCGA-CZ-5462-01A-01-TS1
44,C3N-00314-24,TCGA-CJ-4920-01A-01-BS1,TCGA-CZ-5466-01A-01-BS1
45,C3N-00315-23,TCGA-CJ-6032-01A-01-BS1,TCGA-CZ-5986-11A-01-TS1
46,C3N-00320-21,TCGA-CW-5590-01A-01-TS1,TCGA-DV-5568-01A-01-BS1
47,C3N-00380-25,TCGA-CZ-4858-11A-01-TS1,TCGA-DV-5575-01A-01-BS1
48,C3N-00435-24,TCGA-CZ-4861-01A-01-TS1,C3L-02352-26
49,C3N-00437-25,TCGA-CZ-4863-11A-01-BS1,C3N-02763-23
50,C3N-00491-24,TCGA-CZ-4865-01A-01-BS1,C3L-02364-21
51,C3N-00492-21,TCGA-CZ-5456-01A-01-TS1,C3N-02248-22
52,C3N-00494-24,TCGA-CZ-5467-11A-01-TS1,C3L-01107-21
53,C3N-00495-21,TCGA-CZ-5985-11A-01-TS1,C3L-01681-27
54,C3N-00577-22,C3L-01464-22,C3N-02332-22
55,C3N-00646-21,C3N-01536-22,C3L-01459-21
56,C3N-00733-23,C3N-01078-21,C3N-02263-21
57,C3N-00831-25,C3N-01654-29,C3N-01085-24
58,C3N-00852-26,C3L-01976-23,C3L-01958-21
59,C3N-00953-21,C3L-00026-21,C3L-00011-26
60,C3N-01175-21,C3L-00026-21,C3L-00011-26
61,C3N-01176-21,C3L-00026-21,C3L-00011-26
62,C3N-01178-25,C3L-01283-21,C3L-00011-26
63,C3N-01179-21,C3L-00026-21,C3L-00011-26
64,C3N-01180-22,C3L-00026-21,C3N-00154-21
65,C3N-01200-26,C3L-00026-21,C3N-00154-21
66,C3N-01213-21,C3L-00026-21,C3L-00791-21
67,C3N-01214-22,C3L-00026-21,C3L-00583-22
68,C3N-01361-21,C3L-00183-26,C3L-00583-22
69,C3N-01648-28,C3L-00183-26,C3L-00583-22
70,C3N-01649-30,C3L-00183-26,C3L-00583-22
71,C3N-01808-27,C3L-00183-26,C3L-00583-22
