,train,val,test
0,C3L-00004-26,C3L-00010-26,C3L-00096-26
1,C3L-00011-26,C3L-00581-22,C3L-00447-22
2,C3L-00026-21,C3L-00908-26,C3L-00791-21
3,C3L-00079-26,C3L-00917-21,C3N-00320-21
4,C3L-00088-22,C3L-01283-21,C3N-00380-25
5,C3L-00097-26,C3L-01286-21,C3N-00832-21
6,C3L-00103-26,C3L-01287-23,C3N-01213-21
7,C3L-00183-26,C3N-00314-24,C3N-01361-21
8,C3L-00359-21,C3N-00390-26,TCGA-A3-3325-11A-01-TS1
9,C3L-00360-26,C3N-01179-21,TCGA-A3-3351-01A-01-TS1
10,C3L-00369-22,TCGA-A3-3324-01A-01-BS1,TCGA-A3-3383-01Z-00-DX1
11,C3L-00416-21,TCGA-A3-3326-01A-01-BS1,TCGA-AK-3426-01A-01-TS1
12,C3L-00418-21,TCGA-A3-3343-01Z-00-DX1,TCGA-AK-3450-01A-01-BS1
13,C3L-00448-26,TCGA-AK-3458-01Z-00-DX1,TCGA-B0-4823-01Z-00-DX1
14,C3L-00561-26,TCGA-B0-4707-01A-01-TS1,TCGA-B0-4843-01Z-00-DX1
15,C3L-00583-22,TCGA-B0-4815-11A-01-BS1,TCGA-B0-4847-11A-01-BS1
16,C3L-00606-22,TCGA-B0-4822-01A-01-TS1,TCGA-B0-5099-11A-01-TS1
17,C3L-00607-22,TCGA-B0-4834-01Z-00-DX1,TCGA-B0-5699-01A-01-BS1
18,C3L-00796-21,TCGA-B0-4842-01Z-00-DX1,TCGA-B0-5700-01A-01-TS1
19,C3L-00800-22,TCGA-B0-4849-11A-01-BS1,TCGA-B0-5701-01A-01-BS1
20,C3L-00813-21,TCGA-B0-5095-01A-01-TS1,TCGA-B0-5709-01A-01-BS1
21,C3L-00814-21,TCGA-B0-5104-01A-01-TS1,TCGA-BP-4159-11A-01-BS1
22,C3L-00902-26,TCGA-B0-5697-11A-01-TS1,TCGA-BP-4160-01A-02-BS2
23,C3L-00907-23,TCGA-B0-5698-01A-01-TS1,TCGA-BP-4325-11A-01-TS1
24,C3L-00910-26,TCGA-B8-4143-01A-01-BS1,TCGA-BP-4335-01A-01-TS1
25,C3L-01281-23,TCGA-BP-4176-01Z-00-DX1,TCGA-BP-4353-11A-01-TS1
26,C3L-01288-23,TCGA-BP-4332-01A-01-BS1,TCGA-BP-4758-11A-01-TS1
27,C3L-01302-26,TCGA-BP-4343-11A-01-TS1,TCGA-BP-4760-01A-01-BS1
28,C3L-01313-23,TCGA-BP-4349-11A-01-TS1,TCGA-BP-4766-01A-01-TS1
29,C3L-01603-23,TCGA-BP-4355-01Z-00-DX1,TCGA-BP-4784-11A-01-TS1
30,C3L-01607-21,TCGA-BP-4762-01A-01-BS1,TCGA-BP-4964-01A-01-BS1
31,C3L-01836-26,TCGA-BP-4789-11A-01-TS1,TCGA-BP-4969-01A-01-TS1
32,C3L-01861-26,TCGA-BP-4971-11A-01-TS1,TCGA-BP-4987-01A-01-TS1
33,C3L-01882-21,TCGA-BP-4973-01A-01-TS1,TCGA-BP-4991-01A-01-TS1
34,C3L-01885-23,TCGA-BP-4983-01Z-00-DX1,TCGA-BP-5181-01A-01-BS1
35,C3N-00149-27,TCGA-BP-4986-01A-01-BS1,TCGA-BP-5192-01A-01-BS1
36,C3N-00150-22,TCGA-BP-5006-01A-01-TS1,TCGA-CJ-4636-11A-01-TS1
37,C3N-00154-21,TCGA-BP-5186-01Z-00-DX1,TCGA-CJ-4637-01A-01-BS1
38,C3N-00168-24,TCGA-BP-5198-01Z-00-DX1,TCGA-CJ-4872-01A-01-BS1
39,C3N-00177-21,TCGA-CJ-4635-01A-01-BS1,TCGA-CJ-4885-01A-01-BS1
40,C3N-00194-27,TCGA-CJ-4641-11A-01-TS1,TCGA-CJ-4893-11A-01-TS1
41,C3N-00242-26,TCGA-CJ-4876-11A-01-TS1,TCGA-CJ-4895-01Z-00-DX1
42,C3N-00244-26,TCGA-CJ-4900-11A-01-TS1,TCGA-CJ-4913-01Z-00-DX1
43,C3N-00246-26,TCGA-CJ-4905-01Z-00-DX1,TCGA-CJ-5677-01A-01-BS1
44,C3N-00305-21,TCGA-CJ-4923-01A-01-TS1,TCGA-CJ-5679-11A-01-TS1
45,C3N-00310-22,TCGA-CJ-5672-01Z-00-DX1,TCGA-CJ-5681-01Z-00-DX1
46,C3N-00312-21,TCGA-CJ-5682-11A-01-TS1,TCGA-CW-5583-01A-01-BS1
47,C3N-00313-23,TCGA-CJ-5683-01A-01-BS1,TCGA-CW-5584-11A-01-TS1
48,C3N-00315-23,TCGA-CW-5581-01A-01-BS1,TCGA-CW-6096-11A-01-TS1
49,C3N-00435-24,TCGA-CZ-4859-01Z-00-DX1,TCGA-CZ-4864-01Z-00-DX1
50,C3N-00437-25,TCGA-CZ-5456-01A-01-TS1,TCGA-CZ-4866-11A-01-TS1
51,C3N-00491-24,TCGA-CZ-5469-11A-01-TS1,TCGA-CZ-5459-11A-01-TS1
52,C3N-00492-21,TCGA-DV-5568-01A-01-BS1,TCGA-G6-A8L8-01Z-00-DX1
53,C3N-00494-24,TCGA-DV-A4VZ-01A-01-TS1,C3N-01657-23
54,C3N-00495-21,TCGA-G6-A8L7-01Z-00-DX1,C3L-02364-21
55,C3N-00573-22,C3L-02553-21,C3L-00968-26
56,C3N-00577-22,C3L-01676-22,C3N-01077-27
57,C3N-00646-21,C3N-02266-21,C3N-02431-22
58,C3N-00733-23,C3N-02723-26,C3L-00789-21
59,C3N-00831-25,C3L-00010-26,C3L-00096-26
60,C3N-00834-25,C3L-00010-26,C3L-00791-21
61,C3N-00852-26,C3L-01283-21,C3L-00447-22
62,C3N-00953-21,C3L-00010-26,C3L-00447-22
63,C3N-01175-21,C3L-00010-26,C3L-00447-22
64,C3N-01176-21,C3L-00010-26,C3L-00447-22
65,C3N-01178-25,C3L-00010-26,C3L-00447-22
66,C3N-01180-22,C3L-00010-26,C3L-00791-21
67,C3N-01200-26,C3L-01287-23,C3L-00791-21
68,C3N-01214-22,C3L-00010-26,C3L-00791-21
69,C3N-01220-26,C3L-00908-26,C3L-00791-21
70,C3N-01261-21,C3L-00917-21,C3L-00791-21
71,C3N-01522-22,C3L-00581-22,C3L-00791-21
72,C3N-01524-23,C3L-00581-22,C3L-00447-22
73,C3N-01646-22,C3L-00581-22,C3L-00447-22
74,C3N-01648-28,C3L-00581-22,C3N-00320-21
75,C3N-01649-30,C3L-00917-21,C3N-00320-21
76,C3N-01651-30,C3L-00917-21,C3N-00320-21
77,C3N-01808-27,C3L-00917-21,C3N-00320-21
78,TCGA-A3-3306-01A-01-TS1,C3L-00917-21,C3N-00320-21
79,TCGA-A3-3307-01Z-00-DX1,C3L-00917-21,C3N-00380-25
80,TCGA-A3-3311-01A-01-BS1,C3L-00581-22,C3N-00380-25
81,TCGA-A3-3313-01A-01-TS1,C3L-00581-22,C3N-00380-25
82,TCGA-A3-3316-11A-01-BS1,C3L-01287-23,
83,TCGA-A3-3317-01A-02-BS2,C3L-01287-23,
84,TCGA-A3-3319-01Z-00-DX1,C3L-01287-23,
85,TCGA-A3-3320-01A-01-BS1,C3L-01283-21,
86,TCGA-A3-3322-11A-01-TS1,C3L-01287-23,
87,TCGA-A3-3323-01A-01-BS1,C3L-01287-23,
88,TCGA-A3-3328-01A-01-TS1,C3L-01287-23,
89,TCGA-A3-3329-01A-01-TS1,C3L-01287-23,
90,TCGA-A3-3331-01A-01-TS1,C3L-00010-26,
91,TCGA-A3-3335-01A-01-BS1,C3L-00010-26,
92,TCGA-A3-3336-01Z-00-DX1,C3L-01287-23,
93,TCGA-A3-3346-11A-01-TS1,C3L-01286-21,
94,TCGA-A3-3347-01A-02-BS2,C3L-00908-26,
95,TCGA-A3-3349-01Z-00-DX1,C3L-00908-26,
