,train,val,test
0,C3L-00004-26,C3L-00079-26,C3L-00369-22
1,C3L-00010-26,C3L-00360-26,C3L-00583-22
2,C3L-00011-26,C3L-00416-21,C3L-00813-21
3,C3L-00026-21,C3L-01302-26,C3L-01861-26
4,C3L-00088-22,C3L-01313-23,C3N-00194-27
5,C3L-00096-26,C3L-01607-21,C3N-00242-26
6,C3L-00097-26,C3N-00390-26,C3N-00305-21
7,C3L-00103-26,C3N-00495-21,C3N-00320-21
8,C3L-00183-26,C3N-01178-25,C3N-00577-22
9,C3L-00359-21,C3N-01648-28,C3N-00646-21
10,C3L-00418-21,TCGA-A3-3358-01Z-00-DX1,C3N-01179-21
11,C3L-00447-22,TCGA-A3-3362-01A-02-BS2,C3N-01214-22
12,C3L-00448-26,TCGA-A3-3370-01A-01-BS1,C3N-01361-21
13,C3L-00561-26,TCGA-A3-3380-01A-01-TS1,TCGA-A3-3372-01A-02-BS2
14,C3L-00581-22,TCGA-AK-3433-01A-02-BS2,TCGA-B0-4701-11A-01-BS1
15,C3L-00606-22,TCGA-AK-3434-01A-02-BS2,TCGA-B0-4712-01A-01-TS1
16,C3L-00607-22,TCGA-AK-3455-01A-01-TS1,TCGA-B0-4815-11A-01-BS1
17,C3L-00791-21,TCGA-B0-4688-11A-01-BS1,TCGA-B0-4828-11A-01-BS1
18,C3L-00796-21,TCGA-B0-4703-01A-01-TS1,TCGA-B0-4847-11A-01-BS1
19,C3L-00800-22,TCGA-B0-4714-01A-01-TS1,TCGA-B0-5697-11A-01-TS1
20,C3L-00814-21,TCGA-B0-4818-11A-01-TS1,TCGA-B0-5698-01A-01-TS1
21,C3L-00902-26,TCGA-B0-4827-11A-01-BS1,TCGA-B0-5710-01A-01-TS1
22,C3L-00907-23,TCGA-B0-4844-01Z-00-DX1,TCGA-B0-5713-01Z-00-DX1
23,C3L-00908-26,TCGA-B0-4846-01Z-00-DX1,TCGA-B8-A54D-01A-02-TS2
24,C3L-00910-26,TCGA-B0-4848-11A-01-BS1,TCGA-BP-4326-01A-01-BS1
25,C3L-00917-21,TCGA-B0-4945-01A-01-BS1,TCGA-BP-4335-01A-01-TS1
26,C3L-01281-23,TCGA-B0-5109-01A-02-BS2,TCGA-BP-4346-11A-01-TS1
27,C3L-01283-21,TCGA-B0-5711-01Z-00-DX1,TCGA-BP-4347-11A-01-BS1
28,C3L-01286-21,TCGA-BP-4160-01A-02-BS2,TCGA-BP-4795-01Z-00-DX1
29,C3L-01287-23,TCGA-BP-4351-11A-01-BS1,TCGA-BP-4974-01A-01-BS1
30,C3L-01288-23,TCGA-BP-4355-01Z-00-DX1,TCGA-BP-4975-01Z-00-DX1
31,C3L-01603-23,TCGA-BP-4758-11A-01-TS1,TCGA-BP-4981-11A-01-TS1
32,C3L-01836-26,TCGA-BP-4771-01A-01-BS1,TCGA-BP-4985-01A-01-TS1
33,C3L-01882-21,TCGA-BP-4784-11A-01-TS1,TCGA-BP-4987-01A-01-TS1
34,C3L-01885-23,TCGA-BP-4801-11A-01-TS1,TCGA-BP-5009-01A-01-BS1
35,C3N-00149-27,TCGA-BP-4968-11A-01-TS1,TCGA-BP-5181-01A-01-BS1
36,C3N-00150-22,TCGA-BP-4976-01A-01-BS1,TCGA-BP-5185-01A-01-TS1
37,C3N-00154-21,TCGA-BP-4977-01A-01-TS1,TCGA-BP-5194-01A-02-BS2
38,C3N-00168-24,TCGA-BP-4991-01A-01-TS1,TCGA-CJ-4881-11A-01-TS1
39,C3N-00177-21,TCGA-BP-4995-01Z-00-DX1,TCGA-CJ-4897-01A-01-BS1
40,C3N-00244-26,TCGA-BP-5176-01A-01-BS1,TCGA-CJ-4900-11A-01-TS1
41,C3N-00246-26,TCGA-BP-5199-01Z-00-DX1,TCGA-CJ-4902-11A-01-TS1
42,C3N-00310-22,TCGA-CJ-4639-11A-01-TS1,TCGA-CJ-5683-01A-01-BS1
